County,Vcode,Vtype,ccode,vname,vioid,ctype,pwsid,viomeasure,cname,comp_begin_date,comp_end_date
42009,23,MR,3100,"Monitoring, Routine Major (TCR)",521886,TCR,PA4050001,None,Coliform (TCR),2005-01-01,2005-01-31
42023,23,MR,3100,"Monitoring, Routine Major (TCR)",220373,TCR,PA6120001,None,Coliform (TCR),2002-07-01,2002-07-31
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),223329,SWTR,PA6120001,None,SWTR,2002-09-01,2002-09-30
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),323484,SWTR,PA6120001,None,SWTR,2002-01-01,2002-01-31
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),323485,SWTR,PA6120001,None,SWTR,2002-02-01,2002-02-28
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),323486,SWTR,PA6120001,None,SWTR,2002-03-01,2002-03-31
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),323487,SWTR,PA6120001,None,SWTR,2002-04-01,2002-04-30
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),323488,SWTR,PA6120001,None,SWTR,2002-05-01,2002-05-31
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),323489,SWTR,PA6120001,None,SWTR,2002-06-01,2002-06-30
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),323490,SWTR,PA6120001,None,SWTR,2002-07-01,2002-07-31
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),323491,SWTR,PA6120001,None,SWTR,2002-08-01,2002-08-31
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),323492,SWTR,PA6120001,None,SWTR,2002-09-01,2002-09-30
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),323493,SWTR,PA6120001,None,SWTR,2002-10-01,2002-10-31
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),323494,SWTR,PA6120001,None,SWTR,2002-11-01,2002-11-30
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),323495,SWTR,PA6120001,None,SWTR,2002-12-01,2002-12-31
